genNum	maxFit	avgFit
0	0.13333	0.05146
1	0.18333	0.08892
2	0.22	0.11686
3	0.25667	0.14482
4	0.31	0.16978
5	0.32	0.19643
6	0.35667	0.22183
7	0.39	0.24379
8	0.41667	0.26856
9	0.43667	0.28724
10	0.46667	0.30994
11	0.5	0.3264
12	0.51	0.34636
13	0.53333	0.36442
14	0.54667	0.38357
15	0.55333	0.39063
16	0.58333	0.41644
17	0.59667	0.43456
18	0.61	0.44761
19	0.62	0.46162
20	0.63333	0.47937
21	0.66333	0.4919
22	0.66667	0.50496
23	0.67667	0.5145
24	0.69667	0.52777
25	0.71333	0.54245
26	0.71	0.55024
27	0.72667	0.5651
28	0.72667	0.5769
29	0.73667	0.5851
30	0.76	0.59395
31	0.75667	0.60033
32	0.77333	0.61016
33	0.78333	0.6162
34	0.79667	0.62192
35	0.79	0.63247
36	0.79667	0.6361
37	0.80667	0.64051
38	0.81333	0.654
39	0.81667	0.66435
40	0.83	0.67169
41	0.82333	0.672
42	0.83333	0.68145
43	0.84333	0.69594
44	0.83667	0.69011
45	0.85667	0.71198
46	0.85667	0.71139
47	0.86333	0.71428
48	0.86667	0.71573
49	0.87667	0.71785
50	0.87333	0.73046
51	0.87667	0.72863
52	0.88333	0.7441
53	0.89	0.73727
54	0.88667	0.74338
55	0.9	0.75006
56	0.89	0.7491
57	0.90667	0.75254
58	0.90333	0.76012
59	0.90333	0.75233
60	0.90667	0.77284
61	0.90333	0.76316
62	0.91667	0.783
63	0.91667	0.78236
64	0.92333	0.77748
65	0.92333	0.77545
66	0.92	0.77979
67	0.93333	0.79103
68	0.93	0.78762
69	0.93	0.78697
70	0.93	0.7983
71	0.93333	0.79616
72	0.94	0.79866
73	0.94	0.81262
74	0.94333	0.81717
75	0.95	0.8131
76	0.94333	0.80611
77	0.94667	0.82231
78	0.95333	0.82065
79	0.94667	0.81174
80	0.95	0.82973
81	0.95333	0.82036
82	0.94667	0.81844
83	0.95333	0.82515
84	0.96	0.83691
85	0.96333	0.82504
86	0.95	0.83097
87	0.95667	0.83262
88	0.96667	0.84556
89	0.95667	0.82274
90	0.96	0.83374
91	0.96	0.83578
92	0.95667	0.83228
93	0.95667	0.83862
94	0.96	0.83918
95	0.96	0.8385
96	0.96333	0.84062
97	0.96667	0.83896
98	0.96	0.84059
99	0.96667	0.85735
100	0.97	0.83745
