genNum	maxFit	avgFit	bestPhrase
0	0.18182	0.01136	;=V[UW!\r0d
1	0.27273	0.11864	)rl[XLA\r8d
2	0.36364	0.21409	H/p[@Hwwrsd
3	0.54545	0.28273	H=l)@ w\r8d
4	0.54545	0.39	H=l[U w-r0d
5	0.63636	0.42136	H=l\U wor'd
6	0.63636	0.48364	H=l[o w-r8d
7	0.72727	0.51909	H=l\o wor'd
8	0.72727	0.52636	H=l\o wor'd
9	0.72727	0.55	H=l\o wor8d
10	0.72727	0.57	H=l\o wor0d
11	0.72727	0.58909	H=l\o wor d
12	0.72727	0.62136	H=l\o wor0d
13	0.72727	0.64455	H=l\o wor0d
14	0.72727	0.65955	H=l\o wor0d
15	0.72727	0.67455	H=l\o wor8d
16	0.72727	0.68591	H=l\o wor'd
17	0.72727	0.69591	H=l\o wor8d
18	0.72727	0.68591	HOleo wor8d
19	0.72727	0.69409	H=l\o wor0d
20	0.72727	0.65318	H=l\o wor8d
21	0.72727	0.69364	H=l\o wor8d
22	0.72727	0.66591	HOl\o wor8d
23	0.72727	0.65864	H=l\o wor8d
24	0.72727	0.66864	H=l\o wor8d
25	0.72727	0.69818	H=l\o wor8d
26	0.72727	0.65227	HEl\o wor0d
27	0.72727	0.67136	H=l\o wor8d
28	0.72727	0.67318	H=l\o wor8d
29	0.72727	0.695	H=l\o wor0d
30	0.72727	0.67591	H=leo wor8d
31	0.72727	0.70727	H<l\o wor8d
32	0.72727	0.67909	HOl\o worhd
33	0.72727	0.68682	HOl\o wor8d
34	0.72727	0.67136	H<l\o wor8d
35	0.72727	0.67818	H=l\o wor8d
36	0.72727	0.66909	HOl\o wor8d
37	0.72727	0.68182	H=l?o wor8d
38	0.72727	0.66864	H=l\o worhd
39	0.72727	0.68909	H=l\o wor8d
40	0.72727	0.675	H=l?o wor8d
41	0.72727	0.69	H=l\o wor8d
42	0.72727	0.69	HOl\o wor8d
43	0.72727	0.70955	H=l\o wor8d
44	0.72727	0.70955	H=l\o wor8d
45	0.72727	0.70682	H=l\o wor8d
46	0.72727	0.71409	H=l\o worhd
47	0.72727	0.69091	HOl\o wor8d
48	0.72727	0.68909	H=l\o wor8d
49	0.72727	0.68773	HOl\o wor8d
50	0.72727	0.70682	H=l\o wor8d
51	0.72727	0.71773	HOl\o wor8d
52	0.72727	0.70636	H=l\o wor8d
53	0.72727	0.71545	HOl\o wor8d
54	0.72727	0.68773	H=l\o wor8d
55	0.72727	0.68682	H=l\o wor8d
56	0.72727	0.67045	HOl\o wor8d
57	0.72727	0.67045	H=l\o wor8d
58	0.72727	0.68136	H=l\o wor8d
59	0.72727	0.675	HOl\o wor8d
60	0.72727	0.69636	H=l\o wor8d
61	0.72727	0.68455	H=l\o wor8d
62	0.72727	0.68591	H=l\o wor8d
63	0.72727	0.68682	H=l\o wor8d
64	0.72727	0.69773	H=l\o wor8d
65	0.72727	0.67636	H=l\o wor8d
66	0.72727	0.68273	HOl\o wor8d
67	0.72727	0.70455	H=l\o wor8d
68	0.72727	0.7	HWl\o wor8d
69	0.72727	0.67045	HOl\o wor8d
70	0.72727	0.67636	H=l\o wor8d
71	0.72727	0.67455	H=l\o wor8d
72	0.72727	0.69136	H=l\o wor8d
73	0.72727	0.695	H=l\o wor8d
74	0.72727	0.71591	H=lyo wor8d
75	0.72727	0.69136	H=l\o wor8d
76	0.72727	0.70182	H=l\o wor8d
77	0.72727	0.67545	H=l\o wor8d
78	0.72727	0.68091	H=l\o wor8d
79	0.72727	0.69318	H=l\o wor8d
80	0.72727	0.69773	H=lyo wor8d
81	0.72727	0.68818	H=l\o wor8d
82	0.72727	0.63045	H=l\o wor8d
83	0.72727	0.67682	H=l\o wor8d
84	0.72727	0.67	H=l\o wor8d
85	0.72727	0.665	H=l\o wor8d
86	0.72727	0.66091	H=l\o wor8d
87	0.72727	0.71227	H=l@o worWd
88	0.72727	0.68545	H=l\o wor8d
89	0.72727	0.68	H=l\o wor8d
90	0.72727	0.69818	H=l\o worWd
91	0.72727	0.66955	H=l"o worYd
92	0.72727	0.66364	H=l\o wor8d
93	0.72727	0.66318	H=l\o worYd
94	0.72727	0.64318	H=l\o wor8d
95	0.72727	0.66545	H=l\o wor8d
96	0.72727	0.68545	HDl\o wor8d
97	0.72727	0.68955	H=l\o wor8d
98	0.72727	0.69364	H=l/o wor8d
